date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2012-10-12 00:00:00,48.69,2754349.3671,,,,,,,,0.1013,,,,,,,,,,,0.0,,,,,,,,,,,,18132800.0,,,,,,,,,,,,,,,,,,,
2012-10-15 00:00:00,51.94,4356515.7307,,,,,,,,0.7273,,,,,,,,,,,0.0,,,,,,,,,,,,21224700.0,,,,,,,45.05,,,,,,,4.4,,,,,
2012-10-16 00:00:00,52.16,3804523.2779,,,,,,,,-0.8365,,,,,,,,,,,0.0,,,,,,,,,,,,22029900.0,,,,,,,45.1295,,,,,,,1.59,,,,,
2012-10-17 00:00:00,55.41,4232950.1493,,,,,,,,0.6507,,,,,,,,,,,0.0,,,,,,,,,,,,23416300.0,,,,,,,45.2969,,,,,,,5.21,,,,,
2012-10-18 00:00:00,53.42,4546252.9862,,,,,,,,-0.3924,,,,,,,,,,,0.0,,,,,,,,,,,,21893000.0,,,,,,,45.6543,,,,,,,4.54,,,,,
2012-10-19 00:00:00,55.25,5753427.801,,,,,,,,0.721,,,,,,,,,,,0.0,,,,,,,,,,,,23335200.0,,,,,,,46.00100000000001,,,,,,,4.05,,,,,
2012-10-22 00:00:00,55.4,5859946.2844,,,,,,,,-0.0853,,,,,,,,,,,0.0,,,,,,,,,,,,23813400.0,,,,,,,46.3372,,,72.5064,,,,2.11,,,,,
2012-10-23 00:00:00,54.38,5608992.2698,,,,,,,,-0.7226,,,,,,,,,,,0.0,,,,,,,,,,,,23427100.0,,,,,,,46.6634,,,68.0166,,,,1.37,,,,,
2012-10-24 00:00:00,52.12,5241564.6547,,,,,,,,-0.7908,,,,,,,,,,,0.0,,,,,,,,,,,,22957500.0,,,,,,,46.9798,,50.0595,50.0595,,,,2.52,,,,,
2012-10-25 00:00:00,49.24,4657617.5089,342289.2422,,,,,,,-0.8647,,,,,,,,,,,0.0,,,,,,,,,,,,22156900.0,,,,,,,47.2867,,29.0421,29.0421,,,,4.73,,,,,
2012-10-26 00:00:00,50.0,4931521.8567,252150.8268,,,,,,,0.1522,,,,,,,,,,,0.0,,,,,,,,,,,,22641500.0,,,,,,,47.5844,,18.0691,18.0691,,,,2.3,,,,,
2012-10-31 00:00:00,48.5,4642437.5029,100371.8327,,,,,,,-0.8503,,,,,,,,,,,0.0,,,,,,,,,,,,22240600.0,,,,,,,47.8732,,12.1228,12.1228,,,,2.94,,,,,
2012-11-01 00:00:00,48.92,4642437.5029,29155.714,,,,,,,-0.1216,,,,,,,,,,,0.0,,,,,,,,,,,,22546500.0,,,,,,,48.09,,13.8145,13.8145,,,,1.48,,,,,
2012-11-02 00:00:00,48.52,4495798.1587,-49286.6454,,,,,,,-0.9098,,,,,,,,,,,0.0,,,,,,,,,,,,22367600.0,,,,,,,48.09,,9.0686,9.0686,,,,2.44,,,,,
2012-11-05 00:00:00,49.88,4746912.4444,3003.9027,,,,,,,-0.0794,,,,,,,,,,,0.0,,,,,,,,,,,,22677800.0,,,,,,,48.18,,27.5215,27.5215,,,,1.48,,,,,
2012-11-06 00:00:00,48.54,4379196.0982,-92878.2472,,,,,,,0.0048,,,,,,,,,,,0.0,,,,,,,,,,,,22167900.0,,,,,,,57.21,,28.1322,28.1322,,,,2.08,,,,,
2012-11-07 00:00:00,48.07,4470889.749,-94484.0335,,,,,,,-0.1905,,,,,,,,,,,0.0,,,,,,,,,,,,21883800.0,,,,,,,57.1204,,36.0261,36.0261,,,,1.89,,,,,
2012-11-08 00:00:00,49.05,4573089.749,-54033.3066,,,,,,,-0.1005,,,,,,,,,,,0.0,,,,,,,,,,,,22162400.0,,,,,,,56.9144,,34.6939,34.6939,,,,1.99,,,,,
2012-11-09 00:00:00,48.0,4500849.749,-55558.6178,,,,,,,-0.8,,,,,,,,,,,0.0,,,,,,,,,,,,22042000.0,,,,,,,56.7125,,40.7979,40.7979,,,,2.0,,,,,
2012-11-12 00:00:00,46.99,4483938.9798,-56512.5246,,,,,,50.724,-0.3692,-109.9788,,,,50.724,,,,,,0.0,,,,,,51.2,51.13,,10.3,,,21767200.0,,9.54,,,,,56.5147,50.724,35.3163,35.3163,,,,1.62,50.9592,,,-84.0461,49.7028
