date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,14.552999999999999,1998960.0,,,,,,,,0.6,,,,,,,,,,,0.0,,,,,,,,,,,,3331600.0,,,,,,,,,,,,,,,,,,,
1998-01-05,15.1858,3390826.6667,,,,,,,,0.3333,,,,,,,,,,,0.0,,,,,,,,,,,,7507200.0,,,,,,,16.25,,,,,,,1.0,,,,,
1998-01-06,14.7639,3683831.2121,,,,,,,,-0.1477,,,,,,,,,,,0.0,,,,,,,,,,,,5358500.0,,,,,,,16.27,,,,,,,1.0,,,,,
1998-01-07,14.552999999999999,4444755.3501,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,3569300.0,,,,,,,16.2898,,,,,,,0.87,,,,,
1998-01-08,13.8191,3983214.1736,,,,,,,,-0.2647,,,,,,,,,,,0.0,,,,,,,,,,,,1825700.0,,,,,,,18.25,,,,,,,1.12,,,,,
1998-01-09,13.2369,3706956.5049,,,,,,,,-0.5767,,,,,,,,,,,0.0,,,,,,,,,,,,24500.0,,,,,,,18.2288,,,,,,,1.63,,,,,
1998-01-12,12.7054,2901684.0911,,,,,,,,0.1379,,,,,,,,,,,0.0,,,,,,,,,,,,-1349200.0,,,,,,,18.1642,,,13.0077,,,,0.87,,,,,
1998-01-13,13.8697,4037971.8773,,,,,,,,0.7634,,,,,,,,,,,0.0,,,,,,,,,,,,808100.0,,,,,,,18.0657,,,28.9243,,,,1.69,,,,,
1998-01-14,13.4478,3323921.8773,,,,,,,,-0.56,,,,,,,,,,,0.0,,,,,,,,,,,,-620000.0,,,,,,,17.9701,,40.1548,40.1548,,,,1.0,,,,,
1998-01-15,13.8697,3323921.8773,110881.8048,,,,,,,0.2716,,,,,,,,,,,0.0,,,,,,,,,,,,2931600.0,,,,,,,17.8774,,60.0957,60.0957,,,,1.62,,,,,
1998-01-16,13.3972,1838133.3818,-411570.3397,,,,,,,-0.885,,,,,,,,,,,0.0,,,,,,,,,,,,1235700.0,,,,,,,17.7875,,54.3131,54.3131,,,,1.13,,,,,
1998-01-20,14.5024,2734702.4425,-302613.3031,,,,,,,0.5856,,,,,,,,,,,0.0,,,,,,,,,,,,4082700.0,,,,,,,14.88,,60.6188,60.6188,,,,1.93,,,,,
1998-01-21,16.1391,7438602.4425,1266165.7848,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,8786600.0,,,,,,,14.9093,,72.0113,72.0113,,,,2.19,,,,,
1998-01-22,15.7679,9193249.251,2351129.7795,,,,,,,-0.0638,,,,,,,,,,,0.0,,,,,,,,,,,,5841300.0,,,,,,,14.9937,,87.0894,87.0894,,,,1.19,,,,,
1998-01-23,15.4473,7789757.251,2134673.9791,,,,,,,-0.57,,,,,,,,,,,0.0,,,,,,,,,,,,3994600.0,,,,,,,15.0764,,87.131,87.131,,,,1.0,,,,,
1998-01-26,14.8736,6942491.5576,1582478.0693,,,,,,,-0.7299,,,,,,,,,,,0.0,,,,,,,,,,,,2660400.0,,,,,,,15.1998,,70.8301,70.8301,,,,1.37,,,,,
1998-01-27,14.1818,6140894.7834,957664.5809,,,,,,,-0.4032,,,,,,,,,,,0.0,,,,,,,,,,,,748900.0,,,,,,,15.3196,,44.031000000000006,44.031000000000006,,,,1.0,,,,,
1998-01-28,15.2954,8672728.1168,1420581.9798,,,,,,,0.9583,,,,,,,,,,,0.0,,,,,,,,,,,,3510900.0,,,,,,,15.4357,,38.9074,38.9074,,,,1.44,,,,,
1998-01-29,15.1858,11310378.4984,2320065.8571,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,-204500.0,,,,,,,15.5483,,39.7135,39.7135,,,,1.31,,,,,
1998-01-30,15.9282,14642297.9675,3537277.651,,,,,,17.23,0.6106,120.339,,,,17.23,,,,,,0.0,,,,,,17.095,17.035,,4.18,,,5771800.0,,6.69,,,,,15.6575,17.23,67.3698,67.3698,,,,1.13,16.9772,,,-7.1926,17.5016
1998-02-02,15.6076,13782968.2971,3440234.1579,,,,100.0,70.0,17.2925,-0.4121,103.6982,8.3836,,26.643,17.351,,,,,,0.0,18.875,,,,65.9479,17.095,17.255,15.8299,3.971,1.25,7.1108,2217300.0,27.3285,6.8555,,7.2464,1.0725,54.1918,15.7635,17.2925,68.6163,68.6163,,,,1.82,17.1165,,,-23.7895,17.6226
1998-02-03,15.3967,11671144.2971,2415841.9872,,,,95.0,70.0,17.305,0.06,90.5885,6.5039,,26.643,17.4366,,,,,,0.0,18.8715,,,,59.9028,17.095,17.255,15.1924,3.7725,0.25,7.1218,-182500.0,26.228,6.5127,,1.3889,1.0139,53.2519,15.9182,17.305,68.1389,68.1389,,,,1.0,17.2778,,,-29.0526,17.7138
1998-02-04,15.7679,12419676.0432,2015319.6559,,,,90.0,70.0,17.3645,0.6984,85.7464,9.4145,,26.643,17.5559,,,,,,0.0,18.8691,,,,63.9435,17.095,17.255,14.7972,3.5838,1.19,6.775,1703800.0,25.5457,6.1871,,6.8,1.068,54.7073,16.0667,17.3645,60.0783,60.0783,,,,0.63,17.4425,,,-19.7895,17.8457
1998-02-05,15.3967,10142860.9488,943817.5671,,,,85.0,70.0,17.4145,-0.7075,72.3493,5.9428,,29.0137,17.622,,,,,,0.0,18.8621,,,,62.299,17.095,17.255,14.1455,3.4046,1.0,6.8818,-1239400.0,25.7087,6.1877,,5.7971,1.058,52.9714,16.2092,17.4145,47.3591,47.3591,,,,1.06,17.5885,,,-29.0526,17.93
1998-02-06,15.6076,10950811.7425,676749.459,,,,80.0,70.0,17.5205,0.1905,57.6754,7.6945,,27.1991,17.7057,,,,,,0.0,18.8533,,,,62.5269,17.095,17.255,14.3195,3.3644,2.12,6.6196,136300.0,25.0193,5.8783,,12.9426,1.1294,53.8473,16.346,17.5205,42.6354,42.6354,,,,0.63,17.723,,,-23.7895,18.0334
1998-02-09,15.1858,10169407.7425,257343.1004,,,0.6706,75.0,70.0,17.636,-0.38,34.0699,3.6313,,25.4842,17.7337,,,,,,0.0,18.8298,,,,62.6103,17.095,17.255,14.4556,3.3162,2.31,6.6355,-1366400.0,24.3431,5.5844,3.8336,14.7228,1.1472,51.8157,16.4774,17.636,23.7494,23.7494,,,,0.62,17.8434,,,-34.3158,18.079
1998-02-10,15.8691,12083047.7425,671258.3991,,,0.6522,70.0,70.0,17.8235,0.496,64.7062,9.4566,,31.0307,17.8362,,,,,,0.0,18.8288,,,,66.2727,17.505,17.535,13.6714,3.1504,3.75,6.3646,1823000.0,25.9736,5.9852,3.7161,24.9004,1.249,54.7283,16.6035,17.8235,39.8454,39.8454,50.1521,,,1.25,17.9643,,,-19.5704,18.1909
1998-02-11,16.0294,13783788.0786,1320708.5465,,,0.7279,65.0,65.0,17.9515,0.4706,85.2466,10.7882,,33.4832,17.947,,,,,,0.0,18.8347,,,,68.0585,17.505,17.63,12.9666,2.9929,2.56,6.2991,6529700.0,26.0209,6.0059,4.1383,15.5718,1.1557,55.3941,16.7245,17.9515,52.4734,52.4734,66.6667,,,1.19,18.0772,,,-15.75,18.3029
1998-02-12,16.1897,15226384.305,1925336.1746,,,0.8613,60.0,55.0,18.114,-0.0566,103.0824,12.1481,,34.8549,18.0654,,,,,,0.0,18.8523,,,,72.1898,17.535,17.63,12.3687,2.8432,3.25,6.2010000000000005,11308300.0,25.604,5.8857,4.8783,20.389,1.2039,56.0741,16.8408,18.114,75.7057,75.7057,100.0,,,1.06,18.1855,,55.4978,-11.0,18.4209
