date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2016-01-05 00:00:00,120.1264,1713285.4416,,,,,,,,0.6117,,,,,,,,,,,0.0,,,,,,,,,,,,2163572.0,,,,,,,,,,,,,,,,,,,
2016-01-06 00:00:00,114.5325,-639083.2584,,,,,,,,-0.9393,,,,,,,,,,,0.0,,,,,,,,,,,,-222889.0,,,,,,,126.25,,,,,,,5.9,,,,,
2016-01-07 00:00:00,109.7309,-3107831.9632,,,,,,,,-0.2973,,,,,,,,,,,0.0,,,,,,,,,,,,-2712340.0,,,,,,,126.1869,,,,,,,5.05,,,,,
2016-01-08 00:00:00,111.3251,-1936660.8718,,,,,,,,0.2893,,,,,,,,,,,0.0,,,,,,,,,,,,-706073.0,,,,,,,125.9618,,,,,,,3.94,,,,,
2016-01-11 00:00:00,109.75,-2580072.6002,,,,,,,,-0.6296,,,,,,,,,,,0.0,,,,,,,,,,,,-2114623.0,,,,,,,125.5879,,,,,,,3.24,,,,,
2016-01-12 00:00:00,110.3036,-2199987.3694,,,,,,,,0.0256,,,,,,,,,,,0.0,,,,,,,,,,,,-1016599.0,,,,,,,125.2253,,,,,,,1.56,,,,,
2016-01-13 00:00:00,107.7262,-3039221.5772,,,,,,,,-0.8067,,,,,,,,,,,0.0,,,,,,,,,,,,-1966175.0,,,,,,,124.8735,,,10.7308,,,,4.475,,,,,
2016-01-14 00:00:00,109.1868,-2458794.6857,,,,,,,,0.1747,,,,,,,,,,,0.0,,,,,,,,,,,,-1180706.0,,,,,,,124.3822,,,26.4185,,,,4.98,,,,,
2016-01-15 00:00:00,107.4208,-3101737.0303,,,,,,,,-0.2703,,,,,,,,,,,0.0,,,,,,,,,,,,-2274447.0,,,,,,,123.6656,,32.0983,32.0983,,,,2.96,,,,,
2016-01-19 00:00:00,105.3684,-4366264.4403,-1395498.0746,,,,,,,-0.5467,,,,,,,,,,,0.0,,,,,,,,,,,,-3797974.0,,,,,,,122.9848,,33.249,33.249,,,,6.0,,,,,
2016-01-20 00:00:00,104.3374,-5031971.4281,-1600547.6347,,,,,,,0.0732,,,,,,,,,,,0.0,,,,,,,,,,,,-5452155.0,,,,,,,122.1979,,17.4535,17.4535,,,,3.28,,,,,
2016-01-21 00:00:00,105.0056,-4571269.364,-1392340.1949,,,,,,,0.1192,,,,,,,,,,,0.0,,,,,,,,,,,,-4507820.0,,,,,,,121.2264,,13.5326,13.5326,,,,2.265,,,,,
2016-01-22 00:00:00,106.8671,-4365761.8519,-1115199.2888,,,,,,,0.0254,,,,,,,,,,,0.0,,,,,,,,,,,,-3762754.0,,,,,,,120.1935,,27.2078,27.2078,,,,2.949,,,,,
2016-01-25 00:00:00,105.1202,-5033078.8303,-1112769.8396,,,,,,,-0.2592,,,,,,,,,,,0.0,,,,,,,,,,,,-4466553.0,,,,,,,119.2432,,31.4361,31.4361,,,,4.63,,,,,
2016-01-26 00:00:00,105.9602,-4579514.244,-866299.0747,,,,,,,0.1415,,,,,,,,,,,0.0,,,,,,,,,,,,-3902950.0,,,,,,,118.369,,40.822,40.822,,,,4.0975,,,,,
2016-01-27 00:00:00,105.6834,-4622466.6834,-700382.3494,,,,,,,-0.0169,,,,,,,,,,,0.0,,,,,,,,,,,,-4799898.0,,,,,,,117.373,,40.285,40.285,,,,3.55,,,,,
2016-01-28 00:00:00,107.4685,-4114922.1232,-407344.7518,,,,,,,0.5472,,,,,,,,,,,0.0,,,,,,,,,,,,-4119478.0,,,,,,,116.4667,,56.3289,56.3289,,,,3.07,,,,,
2016-01-29 00:00:00,109.2727,-3426632.041,-31433.0037,,,,,,,0.3836,,,,,,,,,,,0.0,,,,,,,,,,,,-3369550.0,,,,,,,115.6419,,72.1142,72.1142,,,,2.92,,,,,
2016-02-01 00:00:00,109.3013,-3058574.3487,242315.8866,,,,,,,0.2564,,,,,,,,,,,0.0,,,,,,,,,,,,-2795380.0,,,,,,,114.8913,,88.4008,88.4008,,,,1.95,,,,,
2016-02-02 00:00:00,105.5402,-3479527.3268,198335.7681,,,,,,113.662,-0.6545,-59.0418,,,,113.662,,,,,,0.0,,,,,,117.57,116.7763,,22.7125,,,-3490206.0,,7.5,,,,,114.85,113.662,73.1981,73.1981,,,,4.75,112.4465,,,-82.8078,112.3026
2016-02-03 00:00:00,108.8717,-2794734.2628,380202.0792,,,,0.0,-70.0,113.0725,0.134,-14.1461,-28.7772,,46.3738,113.699,,,,,,0.0,110.7574,,,,19.574,114.64,116.4213,29.5622,21.5769,-11.79,3.3567,-2593880.0,10.8305,7.905,,-9.369,0.9063,35.6114,114.85,113.0725,68.8076,68.8076,,,,5.0,112.1001,,,-63.0021,112.3396
2016-02-04 00:00:00,110.4564,-2359259.8342,558598.1539,,,,0.0,-65.0,112.859,0.7277,93.1162,-23.5095,,38.0907,113.8905,,,,,,0.0,110.8469,,,,25.5743,112.96,113.5212,28.625,20.498,-4.27,3.2412,-1637544.0,12.8333,9.1897,,-3.5589,0.9644,38.2453,107.3025,112.859,67.3094,67.3094,,,,2.27,111.9559,,,-32.402,112.5908
2016-02-05 00:00:00,108.8431,-2088671.0082,666893.1605,,,,0.0,-60.0,112.8125,-0.1622,27.3392,-26.7217,,46.3964,113.9028,,,,,,0.0,110.8678,,,,27.5865,112.96,112.3713,31.8723,23.8431,-0.93,3.4221,-2634605.0,11.6702,8.7303,,-0.809,0.9919,36.6391,107.3927,112.8125,79.8183,79.8183,,,,6.78,111.9213,,,-33.7361,112.7013
2016-02-08 00:00:00,106.113,-2697350.8955,456898.139,,,,0.0,-55.0,112.5395,-0.7535,-39.3837,-31.8221,,46.3964,113.6416,,,,,,0.0,110.8753,,,,28.8482,112.505,112.3162,30.3519,22.651,-5.46,3.4948,-3835057.0,11.1135,8.2937,,-4.6819,0.9532,34.0889,107.5746,112.5395,58.9999,58.9999,,,,3.56,111.9234,,,-61.5308,112.544
2016-02-09 00:00:00,105.6261,-3010523.2262,229809.1487,,,,0.0,-50.0,112.3235,-0.2107,-69.9777,-32.7014,,47.851000000000006,113.3567,,,,,,0.0,110.8707,,,,28.4708,112.505,112.1838,30.4485,22.3384,-4.32,3.4469,-5560301.0,10.7396,7.8791,,-3.7575,0.9624,33.6493,107.7529,112.3235,33.6253,33.6253,,,,2.468,111.9814,,,-65.7106,112.364
2016-02-10 00:00:00,102.6382,-4171319.4007,-253326.8709,,,-1.077,5.0,-95.0,111.922,0.1374,-157.3215,-37.8771,,53.1985,112.8008,,,,,,0.0,110.7384,,,,27.4052,111.615,111.7125,32.4755,24.5015,-8.03,3.6372,-7506265.0,9.9211,7.4851,-0.9504,-6.9494,0.9305,31.0615,116.49,111.922,16.1285,16.1285,,,,5.7499,112.0465,,,-89.1639,111.9065
2016-02-11 00:00:00,102.2659,-3941779.1247,-354908.1664,,,-0.6799,0.0,-100.0,111.636,0.2915,-210.7132,-38.4975,,56.425,112.2607,,,,,,0.0,110.6382,,,,27.0169,111.42,110.3,33.2294,25.5264,-5.72,3.7081,-8825801.0,9.2566,7.1109,-0.6038,-5.0687,0.9493,30.7513,116.3887,111.636,16.8633,16.8633,0.0,,,5.145,112.106,,,-75.6058,111.4501
2016-02-12 00:00:00,102.9437,-4261636.446,-465972.5563,,,-0.4521,75.0,-20.0,111.309,-0.3054,-132.0523,-35.8968,,55.5595,111.8397,,,,,,0.0,110.5432,,,,31.2098,111.42,110.3,32.1895,24.2501,-6.54,3.6088,-7903399.0,9.196,6.9278,-0.4032,-5.7178,0.9428,32.0516,116.1431,111.309,25.4776,25.4776,12.9863,,,2.3575,112.1077,,,-69.8708,111.0886
2016-02-16 00:00:00,105.7407,-3369365.1336,-185142.3385,,,-0.4422,70.0,-20.0,111.221,0.3869,-60.1068,-25.6478,,46.3099,111.7378,,,,,,0.0,110.5453,,,,36.7411,111.42,110.3,30.3691,23.0376,-1.76,3.5313,-6718308.0,11.1443,8.4539,-0.3949,-1.564,0.9844,37.1761,115.9025,111.221,49.4109,49.4109,46.3197,,,4.29,112.0747,,50.3427,-46.2036,111.0373
2016-02-17 00:00:00,106.1893,-2834860.7013,116643.4643,,,-0.5044,65.0,-20.0,111.264,0.099,-26.6981,-24.0679,,42.453,111.6904,,,,,,0.0,110.5498,,,,42.4016,111.42,110.3,28.7192,21.8857,0.86,3.5267,-5796304.0,11.6018,8.8412,-0.4513,0.7791,1.0078,37.9661,115.6666,111.264,70.9879,70.9879,79.653,,,4.1401,112.03,,52.0308,-42.4071,111.0391
2016-02-18 00:00:00,106.533,-2555440.4536,318403.7839,,,-0.6165,60.0,-20.0,111.379,0.1468,-10.3173,-22.8227,,42.0151,111.6818,,,,,,0.0,110.5621,,,,47.3781,111.42,110.3,27.4781,20.7914,2.3,3.486,-5354901.0,11.2193,8.4892,-0.5522,2.1043,1.021,38.5887,115.4355,111.379,88.3198,88.3198,100.0,,,3.27,111.9614,,56.8449,-39.4992,111.0711
2016-02-19 00:00:00,105.3206,-2315738.826,448264.9976,,,-0.4349,55.0,-20.0,111.3955,-0.2033,-50.022,-25.5957,,45.262,111.5531,,,,,,0.0,110.561,,,,46.6411,111.42,110.3,27.7956,21.4019,0.33,3.5816,-6599646.0,10.474,8.0647,-0.3902,0.3,1.003,37.2021,115.209,111.3955,81.1204,81.1204,92.9299,,,5.115,111.8006,,57.2376,-49.7577,110.9712
2016-02-22 00:00:00,107.9076,-1750863.799,640371.6393,,,-0.5263,50.0,-20.0,111.45,0.7568,50.795,-16.2162,,41.0545,111.6947,15.6467,,-2.1724,,,0.0,110.5786,,,21.2037,46.4766,111.42,110.3,26.7357,20.3318,1.09,3.4493,-5918112.0,11.1726,8.4965,-0.4723,0.9736,1.0097,41.8919,114.987,111.45,83.7272,83.7272,92.9299,,,2.9,111.5791,,64.566,-27.8675,111.1278
