date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2002-10-25,7.4684,931053.3333,,,,,,,,-0.1333,,,,,,,,,,,0.0,,,,,,,,,,,,13965800.0,,,,,,,,,,,,,,,,,,,
2002-10-28,7.4684,1542820.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,13965800.0,,,,,,,12.85,,,,,,,0.09,,,,,
2002-10-29,7.256,2072958.1443,,,,,,,,-0.3711,,,,,,,,,,,0.0,,,,,,,,,,,,11730000.0,,,,,,,13.05,,,,,,,0.97,,,,,
2002-10-30,7.1756,2535101.0015,,,,,,,,-0.2245,,,,,,,,,,,0.0,,,,,,,,,,,,10824200.0,,,,,,,13.05,,,,,,,0.51,,,,,
2002-10-31,7.2388,2362658.6938,,,,,,,,0.0962,,,,,,,,,,,0.0,,,,,,,,,,,,11123100.0,,,,,,,13.0399,,,,,,,0.52,,,,,
2002-11-01,7.2388,2259274.0784,,,,,,,,0.1538,,,,,,,,,,,0.0,,,,,,,,,,,,11123100.0,,,,,,,13.0299,,,,,,,0.13,,,,,
2002-11-04,7.411,3218180.7451,,,,,,,,0.8333,,,,,,,,,,,0.0,,,,,,,,,,,,12430700.0,,,,,,,13.02,,,65.5208,,,,0.34,,,,,
2002-11-05,7.4741,2604972.1736,,,,,,,,0.2857,,,,,,,,,,,0.0,,,,,,,,,,,,14815400.0,,,,,,,12.04,,,75.1304,,,,0.35,,,,,
2002-11-06,7.4627,2400672.1736,,,,,,,,-0.15,,,,,,,,,,,0.0,,,,,,,,,,,,14611100.0,,,,,,,12.052,,78.8411,78.8411,,,,0.2,,,,,
2002-11-07,7.4914,2925717.1736,421760.5045,,,,,,,-0.0375,,,,,,,,,,,0.0,,,,,,,,,,,,15335300.0,,,,,,,12.0639,,75.3856,75.3856,,,,0.8,,,,,
2002-11-08,7.4225,2920650.507,405726.1918,,,,,,,-0.4286,,,,,,,,,,,0.0,,,,,,,,,,,,15228900.0,,,,,,,12.0756,,70.2498,70.2498,,,,0.22,,,,,
2002-11-11,7.2962,2848036.2213,339177.9555,,,,,,,-0.8286,,,,,,,,,,,0.0,,,,,,,,,,,,15118400.0,,,,,,,12.0873,,60.9848,60.9848,,,,0.35,,,,,
2002-11-12,6.8656,2430222.5849,148178.6149,,,,,,,-0.875,,,,,,,,,,,0.0,,,,,,,,,,,,14577700.0,,,,,,,13.24,,37.336,37.336,,,,0.88,,,,,
2002-11-13,6.372000000000001,2095154.9157,-50040.7023,,,,,,,-0.7143,,,,,,,,,,,0.0,,,,,,,,,,,,13892100.0,,,,,,,13.2262,,20.4674,20.4674,,,,1.33,,,,,
2002-11-14,6.3662,2157695.4563,-106682.0053,,,,,,,-0.1081,,,,,,,,,,,0.0,,,,,,,,,,,,13429300.0,,,,,,,13.1769,,12.0343,12.0343,,,,0.37,,,,,
2002-11-15,6.6303,2599199.6229,20323.5151,,,,,,,0.9375,,,,,,,,,,,0.0,,,,,,,,,,,,13890000.0,,,,,,,13.1285,,21.3027,21.3027,,,,0.48,,,,,
2002-11-18,6.9919,2542034.7581,52243.906,,,,,,,0.4054,,,,,,,,,,,0.0,,,,,,,,,,,,14215400.0,,,,,,,13.0812,,37.2501,37.2501,,,,1.5,,,,,
2002-11-19,7.233,2645024.5016,93322.2656,,,,,,,0.3077,,,,,,,,,,,0.0,,,,,,,,,,,,14426800.0,,,,,,,13.05,,59.2086,59.2086,,,,0.78,,,,,
2002-11-20,7.124,2642519.0962,100846.0323,,,,,,,-0.4054,,,,,,,,,,,0.0,,,,,,,,,,,,14334100.0,,,,,,,13.05,,70.955,70.955,,,,0.37,,,,,
2002-11-21,7.3765,2733819.0962,123806.1158,,,,,,12.487,1.0,39.8845,,,,12.487,,,,,,0.0,,,,,,12.07,12.0,,3.63,,,14425400.0,,2.99,,,,,13.0042,12.487,80.2347,80.2347,,,,0.44,12.484000000000002,,,-15.7258,12.3387
2002-11-22,7.2617,2724602.4296,119011.2,,,,35.0,-30.0,12.469,-0.5556,31.6307,-6.6667,,10.2386,12.5025,,,,,,0.0,12.8478,,,,65.2493,12.07,12.0,33.3556,3.4885,-0.36,4.3439,14370100.0,27.1597,2.8405,,-2.7671,0.9723,46.6667,12.9593,12.469,77.7759,77.7759,,,,0.36,12.418,,,-23.7903,12.3542
2002-11-25,7.4225,2789896.5472,127005.8446,,,,30.0,-30.0,12.465,0.3824,64.0759,-1.146,,7.7301,12.5432,,,,,,0.0,12.8482,,,,48.4285,12.07,12.0,32.2206,3.3141,-0.08,4.1727,14481100.0,27.5967,2.8385,,-0.6149,0.9939,49.427,10.76,12.465,85.2259,85.2259,,,,0.35,12.3547,,,-12.5,12.3981
2002-11-26,7.3134,2730596.5472,99862.2133,,,,25.0,-30.0,12.47,-1.0,51.987,-4.6702,,7.7301,12.562,,,,,,0.0,12.8476,,,,59.6764,12.07,12.0,31.5743,3.1484,0.1,4.1016,14421800.0,27.0431,2.6966,,0.7911,1.0079,47.6649,10.7824,12.47,77.3546,77.3546,,,,0.2,12.3013,,,-20.1613,12.4243
2002-11-27,7.1756,2636296.5472,49675.0721,,,,20.0,-30.0,12.47,-1.0,23.0387,-8.9846,,11.553,12.5561,,,,,,0.0,12.8462,,,,65.2528,12.07,12.0,32.726,3.2310000000000003,0.0,4.1314,14327500.0,25.9475,2.5617,,0.0,1.0,45.5077,10.8046,12.47,53.0303,53.0303,,,,0.4,12.2667,,,-29.8387,12.4271
