date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,11.0394,-23378.0488,,,,,,,,-0.6098,,,,,,,,,,,0.0,,,,,,,,,,,,106500.0,,,,,,,,,,,,,,,,,,,
1998-01-05,10.9441,40368.328,,,,,,,,-0.3623,,,,,,,,,,,0.0,,,,,,,,,,,,-125000.0,,,,,,,58.38,,,,,,,1.38,,,,,
1998-01-06,10.7877,11092.328,,,,,,,,-0.57,,,,,,,,,,,0.0,,,,,,,,,,,,-237600.0,,,,,,,58.3612,,,,,,,1.19,,,,,
1998-01-07,10.6808,-16069.0053,,,,,,,,-0.5867,,,,,,,,,,,0.0,,,,,,,,,,,,-394300.0,,,,,,,58.3178,,,,,,,0.87,,,,,
1998-01-08,10.7056,91017.9512,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,-230100.0,,,,,,,58.2389,,,,,,,0.69,,,,,
1998-01-09,10.5969,-21970.2841,,,,,,,,-0.6471,,,,,,,,,,,0.0,,,,,,,,,,,,-470200.0,,,,,,,58.1318,,,,,,,0.75,,,,,
1998-01-12,10.6923,51725.1705,,,,,,,,0.7045,,,,,,,,,,,0.0,,,,,,,,,,,,-365600.0,,,,,,,57.9942,,,22.4355,,,,0.88,,,,,
1998-01-13,10.6923,132870.098,,,,,,,,-0.1014,,,,,,,,,,,0.0,,,,,,,,,,,,-365600.0,,,,,,,57.8331,,,37.8218,,,,0.69,,,,,
1998-01-14,10.6446,124212.2033,,,,,,,,-0.5614,,,,,,,,,,,0.0,,,,,,,,,,,,-436100.0,,,,,,,57.6818,,53.1523,53.1523,,,,0.57,,,,,
1998-01-15,10.4787,21416.4586,17065.8396,,,,,,,-0.8617,,,,,,,,,,,0.0,,,,,,,,,,,,-578200.0,,,,,,,57.5395,,42.9945,42.9945,,,,1.0,,,,,
1998-01-16,10.5149,-50708.8747,-21991.0445,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,-432000.0,,,,,,,57.3484,,28.6001,28.6001,,,,0.75,,,,,
1998-01-20,10.5264,-7398.0639,-22188.9624,,,,,,,-0.1622,,,,,,,,,,,0.0,,,,,,,,,,,,-367900.0,,,,,,,57.1707,,20.4655,20.4655,,,,0.37,,,,,
1998-01-21,10.5378,99349.7622,13712.4671,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,-130300.0,,,,,,,57.0055,,29.4027,29.4027,,,,0.69,,,,,
1998-01-22,10.5626,151249.7622,43666.4639,,,,,,,0.8421,,,,,,,,,,,0.0,,,,,,,,,,,,-78400.0,,,,,,,56.825,,42.6733,42.6733,,,,0.38,,,,,
1998-01-23,10.431,99883.0955,35606.7538,,,,,,,-0.5867,,,,,,,,,,,0.0,,,,,,,,,,,,-232500.0,,,,,,,56.659,,39.744,39.744,,,,0.94,,,,,
1998-01-26,10.4539,79975.0955,22738.2584,,,,,,,0.36,,,,,,,,,,,0.0,,,,,,,,,,,,-161400.0,,,,,,,56.4593,,40.0,40.0,,,,0.5,,,,,
1998-01-27,10.3242,-410792.9045,-140746.6951,,,,,,,-0.62,,,,,,,,,,,0.0,,,,,,,,,,,,-824600.0,,,,,,,56.2776,,22.0093,22.0093,,,,1.0,,,,,
1998-01-28,10.2288,-449852.9045,-207259.931,,,,,,,-0.6,,,,,,,,,,,0.0,,,,,,,,,,,,-1019900.0,,,,,,,56.0498,,22.75,22.75,,,,1.25,,,,,
1998-01-29,10.2403,-531519.5712,-241612.9277,,,,,,,0.3016,,,,,,,,,,,0.0,,,,,,,,,,,,-814100.0,,,,,,,55.7286,,19.4782,19.4782,,,,0.63,,,,,
1998-01-30,10.2288,-652519.5712,-272201.6148,,,,,,55.3955,-0.3871,-133.5348,,,,55.3955,,,,,,0.0,,,,,,55.755,55.755,,5.05,,,-935100.0,,0.32,,,,,55.4428,55.3955,24.8022,24.8022,,,,0.31,55.3745,,,-90.4762,54.8132
1998-02-02,10.3108,-607903.5712,-245773.5672,,,,0.0,-85.0,55.2045,0.24,-106.13,-53.2033,,81.3285,55.2683,,,,,,0.0,53.6937,,,,30.4811,55.505,55.505,32.8641,4.7975,-3.82,1.4188,-833700.0,3.384,0.494,,-6.5999,0.934,23.3983,55.1884,55.2045,33.9724,33.9724,,,,0.5,55.2116,,,-80.4211,54.68600000000001
1998-02-03,10.2879,-571217.1514,-200946.0899,,,,0.0,-80.0,55.0325,-0.2346,-107.6089,-54.0124,,82.8313,55.1418,,,,,,0.0,53.7273,,,,31.3033,55.095,55.16,34.0482,4.9976,-3.44,1.4259,-990100.0,3.1973,0.4693,,-5.9951,0.94,22.9938,54.962,55.0325,46.5109,46.5109,,,,0.81,55.0624,,,-80.0493,54.5656
1998-02-04,10.1678,-607887.1514,-176007.4774,,,,0.0,-100.0,54.87,-0.63,-130.303,-58.023,,84.1722,54.9673,,,,,,0.0,53.673,,,,31.5185,54.72,54.72,34.7141,5.1877,-3.25,1.4644,-1086600.0,2.9833,0.4458,,-5.7461,0.9425,20.9885,54.7604,54.87,46.4442,46.4442,,,,1.0,54.9154,,,-90.9884,54.4015
1998-02-05,10.1563,-667277.4739999999,-168701.5588,,,,0.0,-95.0,54.7325,-0.5,-118.916,-58.3868,,84.1722,54.8038,,,,,,0.0,53.6254,,,,32.1719,54.69,54.625,33.2615,4.9284,-2.75,1.4509999999999998,-1183500.0,2.8585,0.4235,,-4.9107,0.9509,20.8066,54.5492,54.7325,36.5333,36.5333,,,,0.62,54.7609,,,-92.3077,54.2472
1998-02-06,10.2288,-386751.1582,-61117.8954,,,,0.0,-90.0,54.6075,0.8421,-92.6367,-49.735,,84.1722,54.692,,,,,,0.0,53.6258,,,,41.721,54.655,54.595,32.2533,4.6819,-2.5,1.4097,-773500.0,2.7719,0.4024,,-4.4539,0.9555,25.1325,54.3633,54.6075,31.7333,31.7333,,,,0.44,54.6025,,,-80.2508,54.1422
1998-02-09,10.2879,-404164.7946,-17090.9268,,,-1.109,5.0,-80.0,54.5265,0.2159,-49.51300000000001,-43.0261,,59.4183,54.6204,,,,,,0.0,53.6416,,,,47.0381,54.655,54.595,30.3186,4.4478,-1.62,1.4131,-645800.0,7.7179,1.1322,-2.0164,-2.9158,0.9708,28.487,53.0,54.5265,45.2259,45.2259,,,,0.88,54.4492,,,-70.5329,54.0787
1998-02-10,10.2994,-450684.1494,-12327.7866,,,-1.0173,0.0,-80.0,54.4235,0.0968,-31.3593,-41.7323,,57.6341,54.5613,,,,,,0.0,53.6705,,,,46.5242,54.655,54.565,29.0273,4.2254,-2.06,1.3984,-569900.0,7.8014,1.1356,-1.8546,-3.6746,0.9633,29.1339,53.0144,54.4235,60.7815,60.7815,100.0,,,0.62,54.3015,,,-68.0511,54.0285
1998-02-11,10.2288,-586879.3875,-52593.3698,,,-0.9714,5.0,-70.0,54.302,-0.3968,-61.0673,-44.9639,,60.5756,54.4726,,,,,,0.0,53.6666,,,,41.7572,54.53,54.565,30.3907,4.3942,-2.43,1.3963,-801800.0,7.4615,1.0789,-1.7756,-4.3346,0.9567,27.518,53.0441,54.302,56.1469,56.1469,93.532,,,0.63,54.1715,,,-79.8722,53.953
1998-02-12,10.2517,-586879.3875,-64284.4384,,,-0.895,0.0,-70.0,54.199,0.24,-56.3681,-42.2701,,60.5756,54.4038,,,,,,0.0,53.6729,,,,40.7999,54.315,54.375,29.3233,4.1745,-2.06,1.3701,-647600.0,7.1994,1.0249,-1.6392,-3.6911,0.9631,28.8649,53.0732,54.199,46.7126,46.7126,91.2917,,,0.5,54.06399999999999,,37.6466,-72.7273,53.9004
1998-02-13,10.2765,-468979.3875,-25709.4721,,,-0.7926,0.0,-65.0,54.146,0.8421,-51.7168,-39.3179,,60.5756,54.3539,,,,,,0.0,53.6803,,,,44.4905,54.315,54.345,28.5219,3.9657,-1.06,1.3337,-529700.0,7.0027,0.9737,-1.4539,-1.9294,0.9807,30.3411,53.1018,54.146,37.157,37.157,91.2917,,,0.38,53.9781,,42.4587,-67.2862,53.87
1998-02-17,10.3471,-426547.3875,5909.5116,,,-0.6737,0.0,-60.0,54.102,0.74,6.0871,-31.1636,,45.1132,54.344,,,,,,0.0,53.6956,,,,43.5037,54.315,54.22,27.4816,3.7675,-0.88,1.3044,-441300.0,10.3945,1.425,-1.2373,-1.5962,0.984,34.4182,53.1297,54.102,49.9916,49.9916,97.7597,,,0.5,53.9058,,48.4393,-48.7705,53.8799
1998-02-18,10.3833,-372020.3605,35656.8307,,,-0.5631,5.0,-50.0,54.0645,0.3514,41.0665,-27.1411,,41.6669,54.3531,,,,,,0.0,53.7117,,,,45.6636,54.315,54.22,26.7224,3.5791,-0.75,1.2689,-360600.0,11.0033,1.4737,-1.035,-1.3589,0.9864,36.4295,53.1571,54.0645,69.0,69.0,100.0,,,0.37,53.8478,,48.8206,-40.9836,53.9121
