date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,7.0163,2925300.0,,,,,,,,0.845,,,,,,,,,,,0.0,,,,,,,,,,,,2925300.0,,,,,,,,,,,,,,,,,,,
1998-01-05,6.8564,1607700.0,,,,,,,,-0.3121,,,,,,,,,,,0.0,,,,,,,,,,,,345000.0,,,,,,,34.63,,,,,,,2.82,,,,,
1998-01-06,6.7892,1484082.7869,,,,,,,,-0.2049,,,,,,,,,,,0.0,,,,,,,,,,,,-1330700.0,,,,,,,34.6825,,,,,,,2.44,,,,,
1998-01-07,6.5041,1146692.623,,,,,,,,-0.0779,,,,,,,,,,,0.0,,,,,,,,,,,,-3903300.0,,,,,,,34.7345,,,,,,,2.63,,,,,
1998-01-08,6.5622,1203730.9129,,,,,,,,0.2788,,,,,,,,,,,0.0,,,,,,,,,,,,-1711400.0,,,,,,,39.88,,,,,,,2.69,,,,,
1998-01-09,6.2897,924800.1437,,,,,,,,-0.5385,,,,,,,,,,,0.0,,,,,,,,,,,,-5337500.0,,,,,,,39.8287,,,,,,,3.25,,,,,
1998-01-12,6.1862,694975.1437,,,,,,,,0.3397,,,,,,,,,,,0.0,,,,,,,,,,,,-8095400.0,,,,,,,39.6947,,,24.796999999999997,,,,3.12,,,,,
1998-01-13,6.7656,3861682.5786,,,,,,,,0.8364,,,,,,,,,,,0.0,,,,,,,,,,,,-4205700.0,,,,,,,39.4828,,,46.8954,,,,3.44,,,,,
1998-01-14,6.6984,4179789.1824,,,,,,,,-0.1745,,,,,,,,,,,0.0,,,,,,,,,,,,-5980400.0,,,,,,,39.2772,,67.1572,67.1572,,,,2.12,,,,,
1998-01-15,6.6076,3071217.7538,634898.9654,,,,,,,-0.2114,,,,,,,,,,,0.0,,,,,,,,,,,,-7532400.0,,,,,,,39.0778,,83.101,83.101,,,,1.75,,,,,
1998-01-16,6.4714,1937993.2857,124908.838,,,,,,,-0.4628,,,,,,,,,,,0.0,,,,,,,,,,,,-8847500.0,,,,,,,38.8844,,70.5264,70.5264,,,,1.88,,,,,
1998-01-20,6.9472,3276688.8522,330869.7537,,,,,,,0.5542,,,,,,,,,,,0.0,,,,,,,,,,,,-6045900.0,,,,,,,32.63,,68.3386,68.3386,,,,4.06,,,,,
1998-01-21,6.6748,3871824.8522,574408.8779,,,,,,,0.1667,,,,,,,,,,,0.0,,,,,,,,,,,,-9765500.0,,,,,,,32.6968,,56.8444,56.8444,,,,2.37,,,,,
1998-01-22,6.3806,3547706.9951,518691.1216,,,,,,,-0.5536,,,,,,,,,,,0.0,,,,,,,,,,,,-12790600.0,,,,,,,32.7629,,41.358000000000004,41.358000000000004,,,,2.12,,,,,
1998-01-23,6.5168,3275306.9951,362071.0285,,,,,,,0.2232,,,,,,,,,,,0.0,,,,,,,,,,,,-10248200.0,,,,,,,32.8284,,24.7797,24.7797,,,,1.37,,,,,
1998-01-26,6.4714,2500810.1951,18652.8241,,,,,,,-0.496,,,,,,,,,,,0.0,,,,,,,,,,,,-11226100.0,,,,,,,32.8932,,19.5869,19.5869,,,,1.25,,,,,
1998-01-27,6.584,3056410.1951,53249.6656,,,,,,,0.56,,,,,,,,,,,0.0,,,,,,,,,,,,-10114900.0,,,,,,,32.9574,,35.662,35.662,,,,1.0,,,,,
1998-01-28,6.9926,4717047.0772,590946.5028,,,,,,,0.7376,,,,,,,,,,,0.0,,,,,,,,,,,,-7619200.0,,,,,,,33.0209,,56.6893,56.6893,,,,2.69,,,,,
1998-01-29,6.7765,3060864.2551,230223.7198,,,,,,,-0.2699,,,,,,,,,,,0.0,,,,,,,,,,,,-9407000.0,,,,,,,33.0838,,67.6379,67.6379,,,,1.63,,,,,
1998-01-30,6.8909,3060864.2551,61725.8795,,,,,,36.6085,0.2246,103.7677,,,,36.6085,,,,,,0.0,,,,,,36.345,36.255,,6.31,,,-8300600.0,,9.0,,,,,33.1461,36.6085,71.645,71.645,,,,1.38,36.3366,,,-26.7586,36.6467
1998-02-02,7.2651,3175060.0885,23518.5391,,,,100.0,70.0,36.677,0.4757,213.0044,5.8273,,30.6774,36.9315,,,,,,0.0,37.9604,,,,56.7051,37.03,37.005,13.2477,5.9945,1.37,5.9312,-5559900.0,24.9727,11.3,,3.5465,1.0355,52.9137,33.2077,36.677,67.2248,67.2248,,,,3.44,36.3979,,,-15.7714,36.9697
1998-02-03,7.4013,2916321.7323,-76575.6261,,,,100.0,75.0,36.827,0.3425,226.6886,8.8869,,32.9623,37.2952,,,,,,0.0,38.0165,,,,57.2871,37.405,37.285,12.6055,5.6948,3.0,5.7997,-2577600.0,25.0016,11.295,,7.947,1.0795,54.4435,33.3712,36.827,75.4414,75.4414,,,,2.19,36.5092,,,-12.782,37.3576
1998-02-04,7.3105,2321203.0882,-299917.7508,,,,95.0,75.0,36.9705,-0.322,167.2623,6.4597,,32.9623,37.5766,,,,,,0.0,38.0591,,,,57.2293,37.405,37.285,12.2682,5.41,2.87,5.7247,-4173600.0,24.3326,10.7302,,7.6779,1.0768,53.2298,33.6282,36.9705,73.1199,73.1199,,,,1.18,36.6477,,,-18.1525,37.6836
1998-02-05,7.0163,585703.0882,-916224.2790000001,,,,90.0,75.0,37.1115,-0.924,104.8168,-1.0621,,22.94,37.6769,,,,,,0.0,38.0697,,,,58.0369,37.405,37.285,14.392999999999999,6.3895,2.82,5.9902,-5909100.0,22.9624,10.1937,,7.8749,1.0787,49.468999999999994,33.8776,37.1115,57.4178,57.4178,,,,2.5,36.8238,,,-35.5532,37.8416
1998-02-06,7.3559,1953051.7121,-649991.0894,,,,85.0,75.0,37.33,0.8303,105.1353,6.9281,,21.0196,37.9458,,,,,,0.0,38.1394,,,,57.4967,37.405,37.285,14.2493,6.3201,4.37,5.697,-4462100.0,21.8337,9.6841,,12.0952,1.121,53.464,34.1194,37.33,50.9803,50.9803,,,,2.18,37.0481,,,-15.4672,38.1643
1998-02-09,7.0835,122206.6417,-1064529.0261,,,1.0290000000000001,80.0,75.0,37.5485,-0.7653,86.0796,0.2366,,22.9454,38.0462,,,,,,0.0,38.1641,,,,58.8213,37.405,37.285,13.5636,6.0041,4.37,5.8934,-6690500.0,21.6416,9.5798,2.7544,12.6191,1.1262,50.1183,34.3541,37.5485,35.4635,35.4635,,,,2.13,37.3053,,,-31.5789,38.3234
1998-02-10,7.3904,-512260.8139,-1339213.3701,,,1.3506,100.0,100.0,37.88,0.426,126.3088,7.1292,,30.8402,38.298,,,,,,0.0,38.2827,,,,66.2538,37.94,38.63,12.4858,5.7039,6.63,5.8123,-2401500.0,23.6214,10.7909,3.6076,19.4656,1.1947,53.5646,34.5816,37.88,43.7731,43.7731,64.455,,,3.63,37.5937,,,-24.25,38.6226
1998-02-11,7.2651,-958504.5114,-1471824.1991,,,1.6282,95.0,65.0,38.0175,-0.1092,82.49700000000001,4.04,,30.8402,38.4601,,,,,,0.0,38.3137,,,,60.5652,37.94,38.63,12.1526,5.4187,2.75,5.7656,-4114500.0,22.9909,10.2513,4.3392,7.3826,1.0738,52.02,34.9036,38.0175,36.6288,36.6288,58.4468,,,1.19,37.8759,,,-32.875,38.8245
1998-02-12,7.1071,-2137547.3686,-1767421.8838,,,1.8009,90.0,65.0,38.13,-0.32,47.1734,0.2049,,23.1469,38.5239,,,,,,0.0,38.3255,,,,55.1475,37.94,38.63,13.7789,6.0777,2.25,5.8228,-6865600.0,22.0788,9.7387,4.7908,6.1009,1.061,50.1024,35.2126,38.13,36.7059,36.7059,54.0955,,,1.75,38.1633,,39.8153,-43.75,38.9304
1998-02-13,7.1743,-1843961.6543,-1634259.8563,,,1.7423,85.0,65.0,38.286,0.3543,43.6386,1.825,,22.0906,38.6168,,,,,,0.0,38.3493,,,,55.7744,37.94,38.63,13.5243,5.9038,3.12,5.7013,-4810500.0,21.1937,9.2518,4.6175,8.5761,1.0858,50.9125,35.5093,38.286,26.6593,26.6593,28.5612,,,1.75,38.4609,,42.2413,-39.125,39.0609
1998-02-17,7.0835,-3532761.6543,-1968560.8581,,,1.7728,80.0,65.0,38.4545,-0.8,38.7012,-0.4734,,22.0906,38.6533,,,,,,0.0,38.3639,,,,57.3705,37.94,38.63,13.1286,5.6086,3.37,5.646,-6499300.0,20.5736,8.7892,4.6845,9.4583,1.0946,49.7633,35.7942,38.4545,17.9889,17.9889,7.798999999999999,,,1.25,38.7353,,43.2751,-45.375,39.1289
1998-02-18,7.3105,-1847961.6543,-1390287.5535,,,1.7491,75.0,65.0,38.5545,0.8333,48.5532,5.16,,19.8991,38.8054,,,,,,0.0,38.3902,,,,56.3629,37.94,38.63,13.2547,5.5782,2.0,5.3834,-4814500.0,19.8403,8.3498,4.5957,5.2288,1.0523,52.58,36.0676,38.5545,38.0325,38.0325,41.1323,,,1.5,38.9654,,41.8287,-29.75,39.2999
1998-02-19,7.2542,-3179773.2485,-1451089.6586,,,1.5179,70.0,65.0,38.714,-0.5,66.2667,3.6430000000000002,,24.8942,38.9134,15.6467,,0.4679,,,0.0,38.4273,,,0.3967,63.3549,37.94,38.63,12.8124,5.2993,3.19,5.3267,-6652400.0,21.3059,8.8123,3.9648,8.6803,1.0868,51.8215,36.3301,38.714,48.2124,48.2124,57.6904,,,1.38,39.1699,,43.3248,-33.625,39.4319
1998-02-20,7.276,-3409744.5448,-1417218.6905,,,1.3524,65.0,65.0,38.9605,-0.2917,57.0441,4.206,,19.034000000000002,39.0226,17.2118,,-0.3249,,,0.0,38.5024,0.9587,1.3524,0.4332,64.0015,38.19,39.005,13.737,5.6943,4.93,5.3148,-4394500.0,20.1957,8.3717,3.5224,14.0336,1.1403,52.103,36.5821,38.9605,63.08600000000001,63.08600000000001,85.3793,,,2.16,39.3556,,42.7872,-35.4483,39.56
1998-02-23,7.4249,-2956780.0477,-1130399.2554,,,1.251,60.0,60.0,39.2105,0.2249,87.1177,8.0701,,20.1691,39.1995,18.9332,,-0.4193,,,0.0,38.6135,1.002,1.251,0.4711,63.1266,38.255,39.065,13.1717,5.4096,5.0,5.1545,-3051500.0,19.8273,8.1431,3.2454,13.9353,1.1394,54.0351,36.824,39.2105,63.5541,63.5541,85.3793,,,1.69,39.51300000000001,,45.0725,-24.5442,39.7429
1998-02-24,7.502999999999999,-2978036.2521,-917063.801,,,1.2847,55.0,50.0,39.4945,0.4964,129.9445,10.0724,,23.4966,39.4005,20.8267,,-0.4548,,,0.0,38.7626,1.0588,1.2847,0.5106,65.096,38.78,39.065,12.7249,5.1391,5.68,5.0116,-139400.0,20.5413,8.2959,3.3166,15.9416,1.1594,55.0362,37.0562,39.4945,71.5596,71.5596,94.3555,,,1.37,39.6494,,46.528999999999996,-18.5133,39.9428
1998-02-25,8.106,278063.7479,289611.0486,,,1.2828,100.0,100.0,39.9135,0.9549,281.0787,23.5972,,36.5674,39.8986,22.9095,,-0.0132,,,0.0,39.244,1.3559999999999999,1.2828,0.5516,67.1969,40.97,40.47,11.7115,4.8822,8.38,4.7788,3116700.0,25.2143,10.5111,3.2821,23.1172,1.2312,61.7986,37.2792,39.9135,85.9838,85.9838,100.0,,,3.32,39.7909,,56.0017,-0.0,40.4319
1998-02-26,8.4003,3321888.918,1725412.3095,,,1.5792,100.0,100.0,40.301,0.8061,315.61,29.076,,44.3997,40.5035,24.9548,,0.7647,,,0.0,39.775999999999996,1.7027,1.5792,0.5943,69.0799,41.78,41.97,10.9021,4.6381,7.75,4.6987,7460800.0,28.314,12.0456,4.0091,20.1299,1.2013,64.538,37.6467,40.301,90.9933,90.9933,100.0,,,2.94,39.9489,,64.5453,-4.6610000000000005,41.0354
1998-02-27,7.9698,1363138.918,1532691.2517,,,1.5708,95.0,90.0,40.6295,-0.75,208.0151,16.2397,43.09,43.3147,40.825,26.7332,,0.6932,,,0.0,40.0015,1.7659,1.5708,0.6386,67.6699,42.095,41.97,10.4252,4.5262,6.57,5.0467,5110300.0,26.3575,11.4433,3.9603,17.6092,1.1761,58.1199,38.1893,40.6295,84.5735,84.5735,79.6307,,,3.0,40.1365,,53.7588,-29.7669,41.3762
