Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
ATVI, Activision Blizzard Inc, 41.81, -0.27,-0.64, 3292370, -.2,
ADBE, Adobe Inc., 257.98, -3.24,-1.24, 838396, -1.4,
AMD, Advanced Micro Devices Inc., 23.6299, -0.5801,-2.4, 37163640, -.5,
ALXN, Alexion Pharmaceuticals Inc., 134.04, 0.75,0.56, 246025, .2,
ALGN, Align Technology Inc., 259.19, -0.6,-0.23, 648879, .0,
GOOG, Alphabet Inc., 1111.46, -3.67,-0.33, 395468, -1.1,
GOOGL, Alphabet Inc., 1118.94, -3.07,-0.27, 486264, -.8,
AMZN, Amazon.com Inc., 1630.16, -6.24,-0.38, 1452950, -2.5,
AAL, American Airlines Group Inc., 35.5513, -0.6987,-1.93, 2743459, -.3,
AMGN, Amgen Inc., 191.0029, 0.9229,0.49, 666533, .5,
ADI, Analog Devices Inc., 106.1, -1.08,-1.01, 791232, -.4,
AAPL, Apple Inc., 173.94, -0.39,-0.22, 13750155, -1.5,
AMAT, Applied Materials Inc., 38.6, -0.98,-2.48, 4524671, -.9,
ASML, ASML Holding N.V., 184.46, -0.9,-0.49, 228351, -.1,
ADSK, Autodesk Inc., 162.905, -0.405,-0.25, 698551, -.1,
ADP, Automatic Data Processing Inc., 152.64, -0.24,-0.16, 428328, -.1,
BIDU, Baidu Inc., 162.48, 0.5,0.31, 1783423, .1,
BIIB, Biogen Inc., 328.705, 1.085,0.33, 196068, .2,
BMRN, BioMarin Pharmaceutical Inc., 93.05, 0.88,0.95, 290254, .1,
BKNG, Booking Holdings Inc., 1910.38, -5.35,-0.28, 118897, -.2,
AVGO, Broadcom Inc., 272.85, -2.15,-0.78, 979273, -.8,
CDNS, Cadence Design Systems Inc., 57.25, -0.11,-0.19, 529236, .0,
CELG, Celgene Corporation, 90.6, 0.89,0.99, 1625274, .6,
CERN, Cerner Corporation, 57.28, 0.28,0.49, 339986, .1,
CHTR, Charter Communications Inc., 343.9, -2.42,-0.7, 335489, -.5,
CHKP, Check Point Software Technologies Ltd., 122.19, 0.71,0.58, 302067, .1,
CTAS, Cintas Corporation, 204.24, 1.04,0.51, 82461, .1,
CSCO, Cisco Systems Inc., 51.28, 0.1,0.2, 7363998, .4,
CTXS, Citrix Systems Inc., 105.39, -0.04,-0.04, 429693, .0,
CTSH, Cognizant Technology Solutions Corporation, 71.58, -0.46,-0.64, 1729962, -.2,
